id;depart;arrivee;demand_business;demand_family;list_itineraires
231;46;56;2;55;[231, 9060, 9061]
232;47;53;4;60;[232, 9246, 9247]
233;47;54;4;35;[233, 9188, 9189]
234;47;55;6;50;[234, 9226, 9227]
235;47;56;4;45;[235, 9208, 9209]
236;48;53;8;60;[236, 9414, 9415]
237;48;54;6;55;[237, 9394, 9395]
238;48;55;6;40;[238, 9356, 9357]
239;48;56;10;50;[239, 9376, 9377]
240;49;53;6;45;[240, 9562, 9563]
241;49;54;4;50;[241, 9524, 9525]
242;49;55;2;55;[242, 9578, 9579]
243;49;56;8;55;[243, 9544, 9545]
244;50;53;10;60;[244, 9730, 9731]
245;50;54;4;40;[245, 9672, 9673]
246;50;55;10;30;[246, 9692, 9693]
247;50;56;6;55;[247, 9712, 9713]
248;51;53;6;30;[248, 9802, 9803]
249;51;54;4;35;[249, 9856, 9857]
250;51;55;8;55;[250, 9818, 9819]
251;51;56;2;30;[251, 9838, 9839]
252;52;53;2;55;[252, 10028, 10029]
253;52;54;6;55;[253, 9970, 9971]
254;52;55;10;30;[254, 10008, 10009]
255;52;56;8;30;[255, 9990, 9991]
256;53;57;10;60;[256, 10156, 10157]
257;53;58;8;40;[257, 10136, 10137]
258;53;59;6;30;[258]
259;53;60;6;30;[259, 10118, 10119]
260;53;61;4;55;[260, 10172, 10173]
261;54;57;10;50;[261, 10256, 10257]
262;54;58;6;45;[262, 10330, 10331]
263;54;59;6;35;[263, 10292, 10293]
264;54;60;8;60;[264, 10312, 10313]
265;54;61;10;35;[265, 10272, 10273]
266;55;57;10;30;[266, 10432, 10433]
267;55;58;8;35;[267, 10448, 10449]
268;55;59;4;40;[268, 10506, 10507]
269;55;60;8;40;[269, 10488, 10489]
270;55;61;6;35;[270, 10468, 10469]
271;56;57;4;55;[271, 10666, 10667]
272;56;58;10;35;[272, 10626, 10627]
273;56;59;4;60;[273, 10646, 10647]
274;56;60;10;35;[274, 10608, 10609]
275;56;61;2;35;[275]
276;57;62;2;50;[276, 10764, 10765]
277;57;63;2;35;[277, 10826, 10827]
278;57;64;6;40;[278, 10804, 10805]
279;57;65;4;40;[279, 10782, 10783]
280;58;62;4;50;[280, 10932, 10933]
281;58;63;4;50;[281, 10912, 10913]
282;58;64;10;30;[282, 10950, 10951]
283;58;65;8;55;[283, 10972, 10973]
284;59;62;2;50;[284, 11120, 11121]
285;59;63;6;35;[285, 11100, 11101]
286;59;64;10;60;[286, 11160, 11161]
287;59;65;8;40;[287, 11138, 11139]
288;60;62;10;45;[288, 11288, 11289]
289;60;63;8;50;[289, 11350, 11351]
290;60;64;8;35;[290, 11328, 11329]
291;60;65;6;60;[291, 11306, 11307]
292;61;62;8;45;[292, 11520, 11521]
293;61;63;10;45;[293, 11500, 11501]
294;61;64;4;45;[294, 11478, 11479]
295;61;65;2;60;[295, 11456, 11457]
296;62;66;8;60;[296, 11666, 11667]
297;62;67;4;35;[297, 11708, 11709]
298;62;68;8;45;[298, 11730, 11731]
299;62;69;10;30;[299, 11688, 11689]
300;62;70;4;45;[300, 11644, 11645]
301;63;66;6;60;[301, 11850, 11851]
302;63;67;10;60;[302, 11808, 11809]
303;63;68;6;45;[303, 11830, 11831]
304;63;69;2;50;[304, 11872, 11873]
305;63;70;2;55;[305, 11892, 11893]
306;64;66;2;30;[306, 12040, 12041]
307;64;67;4;60;[307, 11998, 11999]
308;64;68;2;35;[308]
309;64;69;2;55;[309, 12020, 12021]
310;64;70;4;55;[310, 12062, 12063]
311;65;66;6;60;[311, 12208, 12209]
312;65;67;2;30;[312, 12272, 12273]
313;65;68;10;40;[313, 12230, 12231]
314;65;69;6;30;[314]
315;65;70;2;30;[315, 12250, 12251]
316;66;71;2;30;[316]
317;66;72;6;35;[317, 12456, 12457]
318;66;73;4;35;[318, 12436, 12437]
319;66;74;2;50;[319]
320;66;75;6;50;[320, 12418, 12419]
321;66;76;6;30;[321, 12476, 12477]
322;67;71;6;45;[322, 12620, 12621]
323;67;72;6;50;[323, 12642, 12643]
324;67;73;10;60;[324]
325;67;74;4;55;[325, 12702, 12703]
326;67;75;6;60;[326, 12662, 12663]
327;67;76;10;40;[327, 12680, 12681]
328;68;71;6;50;[328, 12870, 12871]
329;68;72;2;55;[329]
330;68;73;8;55;[330, 12850, 12851]
331;68;74;10;60;[331, 12828, 12829]
332;68;75;2;40;[332]
333;68;76;8;55;[333, 12892, 12893]
334;69;71;2;35;[334]
335;69;72;6;50;[335, 13042, 13043]
336;69;73;4;45;[336, 13084, 13085]
337;69;74;8;35;[337, 13020, 13021]
338;69;75;6;50;[338]
339;69;76;10;40;[339, 13062, 13063]
340;70;71;2;30;[340, 13246, 13247]
341;70;72;10;45;[341, 13310, 13311]
342;70;73;8;40;[342, 13290, 13291]
343;70;74;2;40;[343, 13224, 13225]
344;70;75;10;60;[344, 13206, 13207]
345;70;76;6;30;[345, 13268, 13269]
346;71;77;8;40;[346]
347;71;78;6;40;[347]
348;71;79;2;55;[348]
349;71;80;2;35;[349, 13438, 13439]
350;71;81;2;55;[350, 13476, 13477]
351;71;82;6;60;[351, 13458, 13459]
352;71;83;4;35;[352, 13414, 13415]
353;72;77;2;55;[353]
354;72;78;2;55;[354, 13664, 13665]
355;72;79;10;35;[355, 13644, 13645]
356;72;80;10;40;[356, 13624, 13625]
357;72;81;6;30;[357]
358;72;82;2;45;[358, 13682, 13683]
359;72;83;6;50;[359]
360;73;77;6;60;[360]
361;73;78;8;60;[361]
362;73;79;8;55;[362, 13800, 13801]
363;73;80;2;60;[363, 13862, 13863]
364;73;81;2;40;[364]
365;73;82;10;35;[365, 13820, 13821]
366;73;83;8;50;[366, 13838, 13839]
367;74;77;10;55;[367]
368;74;78;4;40;[368, 13982, 13983]
369;74;79;10;55;[369, 14048, 14049]
370;74;80;2;40;[370, 14068, 14069]
371;74;81;10;35;[371, 14024, 14025]
372;74;82;6;40;[372]
373;74;83;10;60;[373, 14000, 14001]
374;75;77;6;35;[374]
375;75;78;6;50;[375, 14256, 14257]
376;75;79;4;50;[376]
377;75;80;6;45;[377, 14194, 14195]
378;75;81;2;35;[378]
379;75;82;2;45;[379, 14214, 14215]
380;75;83;8;40;[380, 14232, 14233]
381;76;77;2;45;[381, 14424, 14425]
382;76;78;2;55;[382, 14358, 14359]
383;76;79;6;60;[383, 14446, 14447]
384;76;80;10;45;[384]
385;76;81;4;45;[385, 14376, 14377]
386;76;82;8;45;[386]
387;76;83;8;45;[387, 14400, 14401]
388;77;84;2;30;[388]
389;77;85;8;60;[389, 14630, 14631]
390;77;86;2;40;[390, 14650, 14651]
391;77;87;8;55;[391, 14588, 14589]
392;77;88;4;50;[392, 14570, 14571]
393;77;89;8;60;[393]
394;77;90;2;50;[394, 14608, 14609]
395;78;84;10;60;[395, 14830, 14831]
396;78;85;2;40;[396, 14810, 14811]
397;78;86;8;60;[397]
398;78;87;10;35;[398]
399;78;88;6;30;[399]
400;78;89;2;50;[400, 14766, 14767]
401;78;90;10;30;[401, 14788, 14789]
402;79;84;6;50;[402, 14952, 14953]
403;79;85;4;35;[403]
404;79;86;6;30;[404, 14974, 14975]
405;79;87;6;50;[405]
406;79;88;4;45;[406]
407;79;89;6;50;[407, 14994, 14995]
408;79;90;4;35;[408, 14930, 14931]
409;80;84;6;55;[409, 15212, 15213]
410;80;85;10;35;[410, 15150, 15151]
411;80;86;6;30;[411, 15130, 15131]
412;80;87;8;35;[412, 15192, 15193]
413;80;88;4;30;[413, 15112, 15113]
414;80;89;10;30;[414, 15170, 15171]
415;80;90;8;55;[415]
416;81;84;6;30;[416, 15312, 15313]
417;81;85;4;60;[417, 15292, 15293]
418;81;86;8;30;[418, 15396, 15397]
419;81;87;8;30;[419]
420;81;88;4;55;[420, 15378, 15379]
421;81;89;10;35;[421, 15334, 15335]
422;81;90;8;50;[422, 15356, 15357]
423;82;84;10;60;[423, 15596, 15597]
424;82;85;8;50;[424, 15576, 15577]
425;82;86;4;30;[425, 15512, 15513]
426;82;87;10;55;[426]
427;82;88;10;50;[427]
428;82;89;10;40;[428, 15532, 15533]
429;82;90;4;55;[429, 15554, 15555]
430;83;84;10;45;[430, 15694, 15695]
431;83;85;4;35;[431, 15736, 15737]
432;83;86;10;60;[432, 15674, 15675]
433;83;87;2;60;[433, 15716, 15717]
434;83;88;6;60;[434]
435;83;89;6;35;[435, 15778, 15779]
436;83;90;10;40;[436, 15756, 15757]
437;84;91;8;50;[437, 15914, 15915]
438;84;92;2;45;[438, 15952, 15953]
439;84;93;4;50;[439, 15934, 15935]
440;84;94;4;35;[440, 15896, 15897]
441;84;95;6;55;[441, 15972, 15973]
442;85;91;6;60;[442, 16058, 16059]
443;85;92;6;50;[443, 16078, 16079]
444;85;93;10;35;[444, 16020, 16021]
445;85;94;6;30;[445, 16002, 16003]
446;85;95;2;40;[446, 16038, 16039]
447;86;91;10;40;[447, 16124, 16125]
448;86;92;4;55;[448, 16144, 16145]
449;86;93;6;60;[449, 16164, 16165]
450;86;94;4;55;[450, 16106, 16107]
451;86;95;8;45;[451]
452;87;91;6;40;[452, 16192, 16193]
453;87;92;10;50;[453]
454;87;93;4;30;[454, 16250, 16251]
455;87;94;2;60;[455, 16232, 16233]
456;87;95;4;60;[456, 16212, 16213]
457;88;91;8;40;[457, 16336, 16337]
458;88;92;10;40;[458, 16316, 16317]
459;88;93;10;40;[459, 16298, 16299]
460;88;94;8;55;[460, 16356, 16357]
461;88;95;10;60;[461, 16278, 16279]
462;89;91;4;60;[462, 16456, 16457]
463;89;92;4;55;[463, 16416, 16417]
464;89;93;2;45;[464, 16398, 16399]
465;89;94;6;55;[465, 16380, 16381]
466;89;95;10;60;[466, 16436, 16437]
467;90;91;10;40;[467, 16562, 16563]
468;90;92;10;30;[468, 16486, 16487]
469;90;93;4;55;[469, 16526, 16527]
470;90;94;8;40;[470, 16544, 16545]
471;90;95;8;50;[471, 16506, 16507]
472;91;96;10;55;[472, 16598, 16599]
473;91;97;10;40;[473, 16592, 16593]
474;91;98;6;50;[474, 16594, 16595]
475;91;99;8;55;[475, 16596, 16597]
476;91;100;4;50;[476, 16600, 16601]
477;92;96;6;35;[477, 16618, 16619]
478;92;97;2;60;[478, 16610, 16611]
479;92;98;2;55;[479, 16616, 16617]
480;92;99;4;60;[480, 16614, 16615]
481;92;100;8;60;[481, 16612, 16613]
482;93;96;6;55;[482, 16628, 16629]
483;93;97;2;60;[483, 16634, 16635]
484;93;98;10;30;[484]
485;93;99;10;35;[485, 16630, 16631]
486;93;100;2;50;[486, 16632, 16633]
487;94;96;8;35;[487, 16650, 16651]
488;94;97;6;30;[488, 16644, 16645]
489;94;98;6;40;[489, 16646, 16647]
490;94;99;6;50;[490, 16652, 16653]
491;94;100;10;60;[491, 16648, 16649]
492;95;96;4;50;[492, 16668, 16669]
493;95;97;6;40;[493, 16660, 16661]
494;95;98;10;35;[494, 16662, 16663]
495;95;99;10;60;[495, 16666, 16667]
496;95;100;8;35;[496, 16664, 16665]
497;96;101;8;35;[497]
498;96;102;2;50;[498]
499;96;103;4;50;[499]
500;96;104;8;40;[500]
501;97;101;10;60;[501]
502;97;102;8;60;[502]
503;97;103;6;30;[503]
504;97;104;6;50;[504]
505;98;101;2;35;[505]
506;98;102;8;40;[506]
507;98;103;2;50;[507]
508;98;104;4;50;[508]
509;99;101;6;60;[509]
510;99;102;2;45;[510]
511;99;103;6;50;[511]
512;99;104;8;30;[512]
513;100;101;6;30;[513]
514;100;102;2;60;[514]
515;100;103;6;30;[515]
516;100;104;4;40;[516]
517;1;14;6;30;[517, 1868, 1869, 1894, 1895, 1908, 1909, 1924, 1925, 1946, 1947]
518;1;15;6;40;[518, 1870, 1871, 1892, 1893, 1910, 1911, 1928, 1929, 1944, 1945, 1982, 1983]
519;1;16;10;50;[519, 1866, 1867, 1888, 1889, 1912, 1913, 1926, 1927, 1948, 1949, 1960, 1961]
520;1;17;2;55;[520, 1872, 1873, 1890, 1891, 1906, 1907, 1930, 1931, 1942, 1943, 2006, 2007]
521;2;14;2;35;[521, 2026, 2027, 2050, 2051, 2062, 2063, 2084, 2085, 2106, 2107, 2142, 2143]
522;2;15;6;60;[522, 2030, 2031, 2048, 2049, 2066, 2067, 2086, 2087, 2108, 2109, 2166, 2167]
523;2;16;10;50;[523, 2028, 2029, 2044, 2045, 2064, 2065, 2082, 2083, 2110, 2111, 2120, 2121]
524;2;17;6;35;[524, 2032, 2033, 2046, 2047, 2068, 2069, 2088, 2089, 2104, 2105]
525;3;14;2;60;[525, 2192, 2193, 2216, 2217, 2230, 2231, 2248, 2249]
526;3;15;4;40;[526, 2196, 2197, 2214, 2215, 2232, 2233, 2250, 2251, 2266, 2267]
527;3;16;6;50;[527, 2194, 2195, 2210, 2211, 2234, 2235, 2246, 2247, 2308, 2309]
528;3;17;6;60;[528, 2198, 2199, 2212, 2213, 2228, 2229, 2252, 2253, 2290, 2291]
529;4;14;10;45;[529, 2336, 2337, 2354, 2355, 2376, 2377, 2390, 2391, 2408, 2409]
530;4;15;2;55;[530, 2334, 2335, 2356, 2357, 2374, 2375, 2392, 2393, 2472, 2473]
531;4;16;4;35;[531, 2338, 2339, 2358, 2359, 2370, 2371, 2388, 2389, 2450, 2451]
532;4;17;8;45;[532, 2332, 2333, 2352, 2353, 2372, 2373, 2394, 2395, 2432, 2433]
533;5;14;8;45;[533, 2498, 2499, 2516, 2517, 2540, 2541, 2558, 2559, 2636, 2637]
534;5;15;6;55;[534, 2502, 2503, 2520, 2521, 2538, 2539, 2560, 2561, 2612, 2613]
535;5;16;2;30;[535, 2500, 2501, 2518, 2519, 2542, 2543, 2562, 2563, 2590, 2591]
536;5;17;6;40;[536, 2504, 2505, 2522, 2523, 2536, 2537, 2556, 2557, 2572, 2573]
537;6;14;8;50;[537, 2664, 2665, 2686, 2687, 2708, 2709, 2720, 2721, 2780, 2781]
538;6;15;10;40;[538, 2666, 2667, 2688, 2689, 2706, 2707, 2724, 2725, 2738, 2739]
539;6;16;8;60;[539, 2662, 2663, 2690, 2691, 2702, 2703, 2722, 2723, 2804, 2805]
540;6;17;10;55;[540, 2668, 2669, 2684, 2685, 2704, 2705, 2726, 2727, 2762, 2763]
541;7;14;8;40;[541, 2830, 2831, 2846, 2847, 2872, 2873, 2884, 2885, 2906, 2907, 2924, 2925, 2942, 2943]
542;7;15;2;30;[542, 2832, 2833, 2850, 2851, 2870, 2871, 2888, 2889, 2904, 2905, 2926, 2927, 2966, 2967]
543;7;16;6;55;[543, 2834, 2835, 2848, 2849, 2866, 2867, 2886, 2887, 2908, 2909, 2922, 2923, 2990, 2991]
544;7;17;10;60;[544, 2828, 2829, 2852, 2853, 2868, 2869, 2890, 2891, 2902, 2903, 2928, 2929, 3012, 3013]
545;8;18;2;40;[545, 3034, 3035, 3056, 3057, 3078, 3079, 3106, 3107, 3170, 3171]
546;8;19;8;60;[546, 3040, 3041, 3060, 3061, 3084, 3085, 3134, 3135]
547;8;20;10;60;[547, 3036, 3037, 3064, 3065, 3088, 3089, 3108, 3109, 3154, 3155]
548;8;21;10;45;[548, 3042, 3043, 3062, 3063, 3082, 3083, 3110, 3111]
549;8;22;8;50;[549, 3038, 3039, 3058, 3059, 3086, 3087, 3102, 3103, 3118, 3119]
550;8;23;10;60;[550, 3032, 3033, 3066, 3067, 3080, 3081, 3104, 3105, 3190, 3191]
551;9;18;4;30;[551, 3216, 3217, 3232, 3233, 3254, 3255, 3278, 3279]
552;9;19;10;40;[552, 3238, 3239, 3260, 3261, 3282, 3283, 3350, 3351]
553;9;20;8;40;[553, 3218, 3219, 3234, 3235, 3264, 3265, 3286, 3287, 3298, 3299]
554;9;21;2;40;[554, 3220, 3221, 3240, 3241, 3258, 3259, 3284, 3285]
555;9;22;6;60;[555, 3212, 3213, 3236, 3237, 3262, 3263, 3280, 3281, 3314, 3315]
556;9;23;4;60;[556, 3214, 3215, 3230, 3231, 3256, 3257, 3288, 3289, 3330, 3331]
557;10;18;10;40;[557, 3372, 3373, 3398, 3399, 3412, 3413, 3438, 3439]
558;10;19;8;30;[558, 3376, 3377, 3418, 3419, 3444, 3445]
559;10;20;2;50;[559, 3380, 3381, 3400, 3401, 3422, 3423, 3440, 3441, 3458, 3459]
560;10;21;8;35;[560, 3378, 3379, 3402, 3403, 3416, 3417, 3446, 3447, 3494, 3495]
561;10;22;4;55;[561, 3374, 3375, 3394, 3395, 3420, 3421, 3442, 3443, 3514, 3515]
562;10;23;4;35;[562, 3382, 3383, 3396, 3397, 3414, 3415, 3436, 3437, 3474, 3475]
563;11;18;10;45;[563, 3532, 3533, 3556, 3557, 3578, 3579, 3606, 3607, 3674, 3675]
564;11;19;2;30;[564, 3536, 3537, 3562, 3563, 3584, 3585, 3634, 3635]
565;11;20;2;50;[565, 3540, 3541, 3558, 3559, 3588, 3589, 3608, 3609, 3618, 3619]
566;11;21;2;35;[566, 3538, 3539, 3564, 3565, 3582, 3583, 3610, 3611, 3694, 3695]
567;11;22;6;40;[567, 3534, 3535, 3560, 3561, 3586, 3587, 3602, 3603, 3714, 3715]
568;11;23;6;50;[568, 3542, 3543, 3554, 3555, 3580, 3581, 3604, 3605, 3654, 3655]
569;12;18;10;35;[569, 3734, 3735, 3756, 3757, 3778, 3779, 3806, 3807, 3818, 3819]
570;12;19;2;60;[570, 3740, 3741, 3760, 3761, 3784, 3785, 3854, 3855]
571;12;20;10;30;[571, 3736, 3737, 3764, 3765, 3788, 3789, 3808, 3809, 3874, 3875]
572;12;21;10;30;[572, 3742, 3743, 3762, 3763, 3782, 3783, 3810, 3811]
573;12;22;6;60;[573, 3738, 3739, 3758, 3759, 3786, 3787, 3802, 3803, 3838, 3839]
574;12;23;2;30;[574, 3732, 3733, 3766, 3767, 3780, 3781, 3804, 3805]
575;13;18;10;50;[575, 3896, 3897, 3910, 3911, 3936, 3937, 3958, 3959, 4034, 4035]
576;13;19;10;50;[576, 3916, 3917, 3942, 3943, 3962, 3963, 4054, 4055]
577;13;20;6;60;[577, 3898, 3899, 3920, 3921, 3938, 3939, 3966, 3967, 3998, 3999]
