id;depart;arrivee;demand_business;demand_family;list_itineraires
121;8;15;6;45;[121, 653, 654, 661, 662, 677, 678, 681, 682]
122;8;16;8;30;[122, 639, 640, 655, 656, 665, 666]
123;8;17;4;40;[123, 637, 638, 649, 650, 663, 664, 673, 674, 685, 686]
124;8;18;2;60;[124, 633, 634, 651, 652, 675, 676, 683, 684]
125;8;19;4;40;[125, 635, 636, 667, 668]
126;9;15;8;35;[126, 721, 722, 727, 728, 741, 742]
127;9;16;4;30;[127, 695, 696, 705, 706, 731, 732, 739, 740]
128;9;17;6;35;[128, 693, 694, 707, 708, 717, 718, 729, 730, 737, 738]
129;9;18;6;50;[129, 689, 690, 709, 710, 719, 720]
130;9;19;2;40;[130, 691, 692, 733, 734]
131;10;20;10;35;[131, 753, 754]
132;10;21;4;55;[132, 751, 752]
133;10;22;6;50;[133, 755, 756]
134;11;20;8;35;[134]
135;11;21;10;30;[135, 763, 764]
136;11;22;8;30;[136, 765, 766]
137;12;20;4;45;[137, 773, 774]
138;12;21;2;55;[138]
139;12;22;6;50;[139]
140;13;20;10;40;[140]
141;13;21;6;30;[141, 783, 784]
142;13;22;4;55;[142]
143;14;20;8;30;[143, 793, 794]
144;14;21;8;50;[144]
145;14;22;4;35;[145]
146;1;15;2;40;[146, 203, 204, 223, 224, 235, 236, 245, 246]
147;1;16;4;35;[147, 221, 222]
148;1;17;4;50;[148, 207, 208, 219, 220, 241, 242]
149;1;18;2;40;[149, 205, 206, 237, 238, 243, 244]
150;1;19;6;30;[150, 233, 234]
151;2;15;6;55;[151, 263, 264, 277, 278, 289, 290, 311, 312]
152;2;16;2;45;[152, 261, 262, 295, 296, 313, 314, 325, 326]
153;2;17;4;45;[153, 259, 260, 297, 298, 307, 308, 323, 324]
154;2;18;2;45;[154, 291, 292, 299, 300, 309, 310, 319, 320]
155;2;19;10;60;[155, 275, 276, 287, 288, 321, 322]
156;3;15;4;45;[156, 355, 356, 373, 374, 393, 394]
157;3;16;6;50;[157, 371, 372, 377, 378, 405, 406]
158;3;17;4;45;[158, 369, 370, 379, 380, 389, 390, 403, 404]
159;3;18;6;30;[159, 357, 358, 381, 382, 391, 392, 399, 400]
160;3;19;4;55;[160, 343, 344, 353, 354, 401, 402]
161;4;15;4;30;[161, 425, 426, 437, 438, 455, 456]
162;4;16;8;30;[162, 453, 454, 459, 460, 477, 478]
163;4;17;6;30;[163, 451, 452, 461, 462, 475, 476]
164;4;18;2;45;[164, 439, 440, 463, 464, 471, 472]
165;4;19;6;60;[165, 423, 424, 435, 436, 473, 474]
166;5;20;2;30;[166, 495, 496, 505, 506]
167;5;21;10;45;[167, 517, 518]
168;5;22;10;55;[168]
169;6;20;8;55;[169, 533, 534, 547, 548, 573, 574]
170;6;21;6;55;[170, 545, 546, 561, 562]
171;6;22;8;35;[171, 549, 550]
172;7;20;10;55;[172, 597, 598, 623, 624]
173;7;21;6;35;[173, 585, 586, 609, 610, 621, 622]
174;7;22;4;50;[174, 587, 588, 625, 626]
175;8;20;4;40;[175, 643, 644, 669, 670, 679, 680]
176;8;21;6;30;[176, 641, 642, 657, 658]
177;8;22;6;55;[177, 645, 646]
178;9;20;6;40;[178, 699, 700, 723, 724, 735, 736]
179;9;21;10;55;[179, 697, 698, 711, 712]
180;9;22;6;45;[180, 701, 702, 713, 714]
181;1;20;8;35;[181, 247, 248]
182;1;21;10;50;[182]
183;1;22;6;35;[183]
184;2;20;10;60;[184, 329, 330]
185;2;21;10;45;[185, 301, 302, 315, 316, 327, 328]
186;2;22;4;50;[186, 303, 304, 331, 332]
187;3;20;8;35;[187, 395, 396, 409, 410]
188;3;21;8;60;[188, 383, 384, 407, 408]
189;3;22;4;55;[189, 385, 386, 411, 412]
190;4;20;8;60;[190, 481, 482]
191;4;21;4;40;[191, 465, 466, 479, 480]
192;4;22;10;60;[192, 467, 468, 483, 484]
